ZBEDROOMS,NCOMBATH,TOTROOMS,ROOFTYPE,FUELPOOL,RECBATH,TOTSQFT_EN,KWH
0,2,7,1,-2,0,1808,5270.741999999999
0,1,4,3,-2,0,759,12173.0
0,2,9,5,-2,0,2288,19655.394
0,2,7,5,-2,0,2573,9852.535
0,2,6,5,-2,0,1024,3115.655
0,1,1,-2,-2,0,623,2777.0
0,1,4,5,-2,0,832,2397.758
0,1,5,5,-2,0,2682,13890.899
0,2,9,5,-2,0,1900,10422.424
0,2,6,5,-2,0,1230,18505.802
0,1,5,5,-2,0,2139,2469.205
0,1,4,5,-2,0,600,11065.528999999999
0,2,5,5,-2,0,1884,14766.758
0,1,4,-2,-2,0,782,6750.579000000001
0,2,10,7,-2,0,4308,16585.761000000002
0,2,6,-2,-2,0,1597,20554.014
0,2,6,5,-2,0,924,11924.0
0,1,5,5,-2,0,1222,2297.369
0,2,5,5,-2,0,1664,4732.068
0,2,5,5,-2,0,2800,8973.455
0,1,7,7,-2,0,3008,3677.3140000000003
0,1,8,3,-2,0,2019,16276.03
0,2,9,5,-2,0,2979,5523.941
0,2,5,-2,-2,0,1688,7794.0
0,2,8,5,-2,0,3380,10495.739
0,2,5,2,-2,0,1565,11845.598
0,1,9,5,-2,0,3188,10648.085
0,1,5,5,-2,0,1144,14263.18
0,3,9,5,-2,0,2188,12714.271
0,2,7,5,-2,0,3059,12340.971000000001
0,3,6,1,-2,0,3104,13160.886
0,1,5,9,-2,0,1802,9212.142
0,1,5,-2,-2,0,994,4267.968
0,1,4,-2,-2,0,1123,8204.0
0,2,6,2,-2,0,1466,14131.819
0,1,6,9,-2,0,2359,2982.857
0,2,9,2,-2,0,3298,18036.833
0,2,7,5,-2,0,1682,8658.848
0,1,8,3,-2,0,2000,5477.0
0,1,6,5,-2,0,1050,22015.0
0,2,6,2,-2,0,2518,18936.824
0,1,6,5,-2,0,2215,15903.73
0,2,7,5,-2,0,1533,9687.155999999999
0,1,4,-2,-2,0,811,5730.847
0,4,7,5,-2,0,2357,8934.666
0,2,6,5,-2,0,2936,3104.0359999999996
0,2,3,5,-2,0,1492,7719.831999999999
0,1,6,3,-2,0,1570,26326.341
0,2,6,2,-2,0,1632,23277.278
0,2,7,5,-2,0,2462,12389.232
0,1,3,5,-2,0,1470,23652.302000000003
0,3,9,5,-2,0,3074,12756.136
0,1,6,5,-2,0,1125,5454.763000000001
0,1,5,5,-2,0,1008,8265.476999999999
0,1,5,5,-2,0,2608,2716.328
0,2,6,5,-2,0,3060,22876.273999999998
0,1,4,2,-2,0,1240,3070.259
0,2,8,5,-2,0,1600,9553.753
0,2,9,3,-2,0,1272,2242.215
0,1,7,5,-2,0,1692,11709.85
0,2,6,5,-2,0,4572,9167.263
0,1,1,-2,-2,0,822,12146.645
0,1,6,5,-2,0,2142,3237.353
0,1,6,2,-2,0,1806,11924.0
0,1,2,-2,-2,0,745,8100.964
0,1,6,5,-2,0,4968,2820.145
0,2,8,5,8,0,2438,7689.609
0,1,7,5,-2,0,3750,7864.04
0,2,5,5,-2,0,1175,20692.415
0,1,5,5,-2,0,1382,9543.238000000001
0,1,5,5,-2,0,4876,5867.71
0,1,3,2,-2,0,830,2483.8520000000003
0,2,9,5,-2,0,5239,13752.294
0,3,12,5,5,1,3572,22732.634
0,1,6,2,-2,0,1250,12875.97
0,1,8,5,-2,1,2214,13050.014
0,2,5,5,-2,0,2044,12799.181999999999
0,2,7,5,-2,0,1862,28598.001
0,2,9,5,-2,0,2656,16013.85
0,3,8,5,-2,0,4310,10750.18
0,1,2,-2,-2,0,676,8000.073
0,3,9,5,-2,0,2986,23987.674
0,3,9,5,-2,1,7878,22091.804
0,2,7,5,-2,0,2192,8649.323
0,1,4,2,-2,0,377,7674.976
0,1,6,2,-2,0,1332,3000.048
0,1,5,5,-2,0,1241,7048.496
0,2,7,3,-2,0,3648,22429.279
0,2,5,5,-2,0,1528,4851.806
0,2,4,5,-2,0,1638,10489.063
0,1,6,5,-2,0,2250,7341.073
0,3,8,5,-2,0,3264,12508.59
0,1,5,5,-2,0,1562,15583.48
0,1,4,5,-2,0,1281,4210.857
0,1,5,2,-2,0,1080,22557.2
0,1,3,3,-2,0,717,5776.584
0,2,7,3,-2,0,1787,8547.681
0,4,14,5,-2,0,6640,14464.971000000001
0,2,5,3,-2,0,1300,14663.587
0,2,5,5,-2,1,1650,12671.665
0,1,5,5,-2,0,925,4747.802
0,1,7,-2,-2,0,2020,9353.333
0,5,11,5,5,1,3389,27067.0
0,2,6,5,8,0,1910,15563.903
0,1,9,1,-2,0,1579,9943.23
0,3,9,5,-2,0,5178,11493.188
